"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","centroid_dist","centroid_NS_shift","centroid_EW_shift","n_cells_hist","n_cells_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","range_stability_NA","range_expansion_NA","range_unfilling_NA","range_stability_A","range_expansion_A","range_unfilling_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Accipiter gentilis",4572784.13919179,3209819.18462339,4557040.68122712,3178261.75624611,35266.5245590308,-31557.4283772828,-15743.4579646718,1757,1760,0.959991056710534,1,0.994005994005994,0.994005994005994,1,1,0.99000999000999,0.99000999000999,1,0.000999000999000999,0.012987012987013,0.012987012987013,0.000999000999000999,0.000999000999000999,0.00599400599400599,0.00599400599400599,0.000999000999000999,0.999977188942877,2.28110571223727e-05,0.00158583096467109,0.999977188942877,2.28110571223727e-05,0.00158583096467109,0.998391430268979,0.00158579484755568,2.27748834655207e-05
"Accipiter nisus",4488777.58748005,3183122.99866331,4497384.26204061,3131735.51583417,52103.2459498114,-51387.4828291386,8606.67456056736,1917,1921,0.968950399679127,1,0.721278721278721,0.721278721278721,1,1,0.71028971028971,0.71028971028971,1,0.001998001998002,0.277722277722278,0.277722277722278,0.001998001998002,0.000999000999000999,0.283716283716284,0.283716283716284,0.000999000999000999,0.999940659925395,5.93400746051737e-05,0.000124468635149694,0.999940659925395,5.93400746051737e-05,0.000124468635149694,0.999816206060844,0.000124461250090866,5.93326890653078e-05
"Acrocephalus melanopogon",4544442.93293592,2251125.6185146,4638015.90758629,2412490.66486631,186533.052752076,161365.046351713,93572.9746503672,104,85,0.778335497850833,0.994005994005994,0.705294705294705,0.705294705294705,1,0.997002997002997,0.704295704295704,0.704295704295704,1,0.003996003996004,0.268731268731269,0.268731268731269,0.000999000999000999,0.00599400599400599,0.313686313686314,0.313686313686314,0.000999000999000999,0.983403777461744,0.0165962225382556,0.039206323423975,0.983403777461744,0.0165962225382556,0.0369031176037434,0.945463322019828,0.0385807501572187,0.0159559278229536
"Acrocephalus palustris",4841587.39217933,3238676.86486093,4829802.29826954,3273255.28073021,36531.5655631081,34578.4158692816,-11785.0939097945,1152,1226,0.953929905239124,1,0.797202797202797,0.797202797202797,1,1,0.831168831168831,0.831168831168831,1,0.000999000999000999,0.184815184815185,0.184815184815185,0.000999000999000999,0.000999000999000999,0.175824175824176,0.175824175824176,0.000999000999000999,0.997970449768679,0.00202955023132107,0.00182249821131002,0.997987651027837,0.00201234897216268,0.00182249821131002,0.996155335039856,0.0018188060871376,0.00202585887300619
"Acrocephalus schoenobaenus",4676976.34137048,3475153.70618324,4683155.07502566,3509138.14356507,34541.5508299984,33984.4373818319,6178.73365518451,1454,1401,0.951861214730297,1,1,1,1,1,1,1,1,0.000999000999000999,0.222777222777223,0.222777222777223,0.000999000999000999,0.000999000999000999,0.208791208791209,0.208791208791209,0.000999000999000999,1,0,0.0224352926713337,1,0,0.0224352926713337,0.977564707328666,0.0224352926713337,0
"Acrocephalus scirpaceus",4517394.59600482,3003413.66575382,4529682.29250138,2996121.41030983,14288.6134614931,-7292.25544399023,12287.6964965593,1453,1623,0.932422558513263,1,0.507492507492508,0.507492507492508,1,1,0.497502497502497,0.497502497502497,1,0.001998001998002,0.487512487512487,0.487512487512487,0.001998001998002,0.000999000999000999,0.494505494505495,0.494505494505495,0.000999000999000999,0.996331028372044,0.00366897162795566,0,0.996331028372044,0.00366897162795566,0,0.996331028372044,0,0.00366897162795566
"Aegithalos caudatus",4450945.24617591,3033253.96228874,4479594.45122684,3048044.46350039,32241.8342552333,14790.5012116488,28649.2050509285,1777,1840,0.959285859698497,1,0.83016983016983,0.83016983016983,1,1,0.837162837162837,0.837162837162837,1,0.000999000999000999,0.148851148851149,0.148851148851149,0.000999000999000999,0.000999000999000999,0.158841158841159,0.158841158841159,0.000999000999000999,0.995886531985804,0.00411346801419636,0.00031872940382808,0.995886531985804,0.00411346801419636,0.00031872940382808,0.995570418940842,0.000317418736782625,0.00411216232237549
"Alectoris graeca",4768832.57913025,2214608.37433272,4748365.7637602,2260965.88139885,50674.5398871879,46357.5070661348,-20466.8153700437,179,144,0.8486572624457,1,1,1,1,1,0.999000999000999,0.999000999000999,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.99852708929623,0.00147291070377029,0.0532266545371641,0.99852708929623,0.00147291070377029,0.0532266545371641,0.945452954592231,0.0531524234774701,0.00139462193029899
"Alectoris rufa",3480040.77632534,2494095.82028745,3526608.20060324,2516654.32122813,51743.7046274106,22558.5009406838,46567.4242778993,463,519,0.908357965889884,1,0.76023976023976,0.76023976023976,1,1,0.768231768231768,0.768231768231768,1,0.000999000999000999,0.274725274725275,0.274725274725275,0.000999000999000999,0.000999000999000999,0.270729270729271,0.270729270729271,0.000999000999000999,0.967191936079645,0.0328080639203551,0,0.967488854062368,0.0325111459376323,0,0.967191936079645,0,0.0328080639203551
"Anas crecca",4481306.07243281,3663518.75511405,4485070.02089586,3691982.23656375,28711.271031944,28463.4814496972,3763.94846304972,1300,1250,0.963462223762103,1,0.831168831168831,0.831168831168831,1,1,0.845154845154845,0.845154845154845,1,0.001998001998002,0.156843156843157,0.156843156843157,0.001998001998002,0.001998001998002,0.16983016983017,0.16983016983017,0.000999000999000999,0.999926330507033,7.36694929673081e-05,0.00215578319000724,0.999926330507033,7.36694929673081e-05,0.00214827552751825,0.997770864593913,0.00215562471689921,7.35106891873864e-05
"Anser brachyrhynchus",3589616.56189916,5341742.00040841,3583558.13729662,5286874.60504331,55200.8657795815,-54867.395365105,-6058.42460253695,26,33,0.860778792364725,1,0.941058941058941,0.941058941058941,1,1,1,1,1,0.002997002997003,0.0599400599400599,0.0599400599400599,0.002997002997003,0.000999000999000999,0.038961038961039,0.038961038961039,0.000999000999000999,0.900199503634809,0.0998004963651914,0.116905912436152,1,0,0,0.804345372383681,0.106480986563634,0.0891736410526855
"Anthus campestris",4609199.49237946,2654635.381099,4608211.60163952,2609400.94692603,45245.2203338915,-45234.4341729651,-987.890739948489,852,778,0.895911765538709,1,0.761238761238761,0.761238761238761,1,1,0.73026973026973,0.73026973026973,1,0.000999000999000999,0.276723276723277,0.276723276723277,0.000999000999000999,0.001998001998002,0.258741258741259,0.258741258741259,0.001998001998002,0.996249232710286,0.00375076728971435,0.00529644951456459,0.996249232710286,0.00375076728971435,0.00529644951456459,0.9909923357509,0.00527668859034794,0.00373097565875167
