"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","nS_NA","nE_NA","nU_NA","nS_A","nE_A","nU_A","n_centroid_hist_X","n_centroid_hist_Y","n_centroid_rec_X","n_centroid_rec_Y","n_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Acrocephalus arundinaceus",0.865459749997038,1,0.989010989010989,0.989010989010989,0.992007992007992,1,0.986013986013986,0.986013986013986,0.989010989010989,0.000999000999000999,0.00899100899100899,0.00899100899100899,0.00899100899100899,0.000999000999000999,0.011988011988012,0.011988011988012,0.00999000999000999,0.994514847120311,0.00548515287968934,0.00616801444914626,0.994514847120311,0.00548515287968934,0.00616801444914626,-0.76591810069083,-0.994377603068218,-0.786180265846992,-0.736809625955362,0.258363732305493,0.988414105695805,0.00613438948867454,0.0054515048155204,0,0
"Acrocephalus paludicola",0.548895612007062,0.999000999000999,1,1,1,0.999000999000999,1,1,1,0.003996003996004,0.002997002997003,0.002997002997003,0.002997002997003,0.00699300699300699,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.992695940799352,0.00730405920064801,0.296312810056988,0.992695940799352,0.00730405920064801,0.296312810056988,-0.693069020408535,-1.79035334197345,-0.60265079081119,-1.92890785560401,0.165447301250039,0.700062552845795,0.29478652619242,0.0051509209617852,0,0
"Acrocephalus palustris",0.813760870593345,0.994005994005994,0.981018981018981,0.981018981018981,0.952047952047952,0.999000999000999,0.982017982017982,0.982017982017982,0.953046953046953,0.004995004995005,0.013986013986014,0.013986013986014,0.035964035964036,0.00599400599400599,0.014985014985015,0.014985014985015,0.041958041958042,0.98853883353146,0.0114611664685404,0.00937221807092318,0.98853883353146,0.0114611664685404,0.00937221807092318,-0.172301993684758,-1.37474786442882,-0.382664814712872,-1.06547341449971,0.374036364341567,0.979379233551896,0.00926579681937402,0.0113549696287299,0,0
"Acrocephalus schoenobaenus",0.843040036613515,1,0.988011988011988,0.988011988011988,0.98001998001998,1,1,1,0.993006993006993,0.001998001998002,0.013986013986014,0.013986013986014,0.017982017982018,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.00999000999000999,0.99840784371755,0.00159215628244959,0.0168662912867086,0.998982978950819,0.00101702104918081,0.0152932540401439,0.0573827778624663,-1.37356995108573,-0.201938176639937,-1.12665065109396,0.358073313935096,0.981594765724151,0.0152449225906968,0.000999318866829574,0.0015949671389311,0.000566025679391234
"Acrocephalus scirpaceus",0.849328342426653,0.997002997002997,0.973026973026973,0.973026973026973,0.985014985014985,0.996003996003996,0.97002997002997,0.97002997002997,0.98001998001998,0.00599400599400599,0.020979020979021,0.020979020979021,0.010989010989011,0.002997002997003,0.014985014985015,0.014985014985015,0.010989010989011,0.992191329142279,0.00780867085772063,0.00500197809113288,0.992191329142279,0.00780867085772063,0.00500197809113288,-0.410776987503756,-0.580121283347243,-0.607951446987894,-0.407307923771973,0.262187384747156,0.987266971315421,0.00496311314382809,0.00776991554075085,0,0
"Aegithalos caudatus",0.863898428380321,1,0.998001998001998,0.998001998001998,0.998001998001998,1,1,1,0.999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.996851437596032,0.00314856240396765,0.00684939550791485,0.997435580204316,0.00256441979568368,0.00684939550791485,-0.225594710251255,-0.457492514590778,-0.440566029220026,-0.348548703332056,0.241000875497889,0.99004495889857,0.00682797700916835,0.00254541841258185,8.67361737988404e-19,0.000581645679679573
"Alectoris graeca",0.792933824617612,0.997002997002997,0.934065934065934,0.934065934065934,0.996003996003996,0.999000999000999,0.925074925074925,0.925074925074925,0.999000999000999,0.000999000999000999,0.0649350649350649,0.0649350649350649,0.000999000999000999,0.00599400599400599,0.0709290709290709,0.0709290709290709,0.00599400599400599,0.973403359828656,0.0265966401713438,0.0127690904585248,0.973403359828656,0.0265966401713438,0.0105918144389414,-0.325198735345036,0.852532052168932,0.83760252285671,0.890046136554852,1.16340623713425,0.961300356202791,0.0102909144492416,0.0262659455736939,0.00214278377427402,0
"Alectoris rufa",0.848504527971244,1,0.995004995004995,0.995004995004995,1,1,0.992007992007992,0.992007992007992,0.998001998001998,0.000999000999000999,0.00599400599400599,0.00599400599400599,0.000999000999000999,0.001998001998002,0.00999000999000999,0.00999000999000999,0.001998001998002,0.992696006577268,0.00730399342273169,0.00933826647163836,0.992696006577268,0.00730399342273169,0.00933826647163836,-0.913491329764331,1.3728663651368,-0.722898499062819,1.44880987722867,0.205165894201896,0.983493027494327,0.00927069215748349,0.00723628034818926,0,0
"Anser brachyrhynchus",0.661001407182192,0.997002997002997,0.932067932067932,0.932067932067932,0.991008991008991,0.999000999000999,0.942057942057942,0.942057942057942,1,0.002997002997003,0.0629370629370629,0.0629370629370629,0.004995004995005,0.001998001998002,0.0729270729270729,0.0729270729270729,0.000999000999000999,0.852831485305247,0.147168514694753,0.0471178912430346,0.853036711093186,0.146963288906814,0.00406019160094871,3.48829063768456,-0.747585025925547,3.72826784636759,0.297098503786148,1.07189212980513,0.818322332187525,0.00333609062716095,0.140982609259632,0.0371281203129066,0.000230847612775475
"Anthus campestris",0.862868491815381,1,0.997002997002997,0.997002997002997,1,0.995004995004995,0.998001998001998,0.998001998001998,0.999000999000999,0.00699300699300699,0.002997002997003,0.002997002997003,0.002997002997003,0.003996003996004,0.003996003996004,0.003996003996004,0.001998001998002,0.991631593390119,0.00836840660988064,0.00249772385371304,0.991631593390119,0.00836840660988064,0.00247036511069083,-1.15911201875954,-0.479585673410965,-1.37956538933206,-0.391890966739812,0.2372552426711,0.989175447219556,0.00244967610755178,0.00834767912400224,2.71975488900893e-05,0
